"","站名","年","月","PM2.5 天數","PM10 天數","PM2.5 average","PM10 average","縣市","鄉鎮"
"194","埔里","2014","01",22,0,43.6049426847113,62.7276392961877,"南投縣","埔里鎮"
"195","桃園","2014","01",14,2,33.9714417770168,63.9758498898731,"桃園市","桃園區"
"196","馬公","2014","01",8,1,28.0819372821167,60.4403786441263,"澎湖縣","馬公市"
"197","馬祖","2014","01",14,5,44.5160705937354,79.244448340346,"連江縣","南竿鄉"
"198","基隆","2014","01",9,0,27.8142770623486,40.8985719750096,"基隆市","信義區"
"199","崙背","2014","01",21,5,51.7617605629527,102.337296527689,"雲林縣","崙背鄉"
"200","淡水","2014","01",10,2,28.2336637766161,56.3189521441625,"新北市","淡水區"
"201","麥寮","2014","01",20,5,43.8711430575035,101.850338943432,"雲林縣","麥寮鄉"
"202","善化","2014","01",21,5,49.6922237805828,101.347937651409,"臺南市","善化區"
"203","復興","2014","01",28,8,54.5496568064941,112.303646563815,"高雄市","前鎮區"
"204","湖口","2014","01",15,2,38.1873076082403,62.0670289855072,"新竹縣","湖口鄉"
"205","菜寮","2014","01",13,2,31.3860281840646,58.2725678949382,"新北市","三重區"
"206","陽明","2014","01",5,0,18.5629421848216,26.1519219443483,"臺北市","北投區"
"207","新竹","2014","01",15,2,38.0013102531926,65.0813033635983,"新竹市","東區"
"208","新店","2014","01",7,2,27.4732298440223,51.6198706914871,"新北市","新店區"
"209","新莊","2014","01",10,2,30.6019087983481,60.2094263474323,"新北市","新莊區"
"210","新港","2014","01",20,5,46.350259254537,102.061827956989,"嘉義縣","新港鄉"
"211","新營","2014","01",21,7,49.7729913844921,111.055568963528,"臺南市","新營區"
"212","楠梓","2014","01",27,9,54.8327163136069,116.068222801042,"高雄市","楠梓區"
"213","萬里","2014","01",6,2,26.489422627396,62.5865474520804,"新北市","萬里區"
"214","萬華","2014","01",8,2,29.6351576777594,54.402981427175,"臺北市","萬華區"
"215","嘉義","2014","01",23,5,52.5943930893791,99.5697755960729,"嘉義市","西區"
"216","彰化","2014","01",17,3,45.1335200906041,74.272006277967,"彰化縣","彰化市"
"217","臺西","2014","01",16,7,42.6561553220038,103.958971603432,"雲林縣","臺西鄉"
"218","臺東","2014","01",2,0,17.5681977559607,42.2843618513324,"臺東縣","臺東市"
"219","臺南","2014","01",22,6,53.1699339113434,108.874925623698,"臺南市","中西區"
